ticknumber;musica;dia1;dia2;dia3;cambio
3030;sin estilo;.11;.29; ; 
3031;indie;2.17; ; ; 
3032;pop;1.67; ; ; 
3033;pop;1; ; ; 
3034;sin estilo;.88; ; ; 
3035;sin estilo;2.2; ; ; 
3048;metal;2.17; ; ; 
3049;pop;2.32; ; ; 
3051;pop;1.64; ; ; 
3052;pop;3; ; ; 
3053;pop;2.38;.85; ; 
3054;indie;1.6;1.02; ; 
3055;metal;1.58; ; ; 
3056;indie;2.61; ; ; 
3057;sin estilo;1.44;.05;.2;-1.24
3064;sin estilo;1.57; ; ; 
3065;sin estilo;2.32; ; ; 
3068;metal;1.14; ; ; 
3069;pop;1.93; ; ; 
3070;pop;2.47; ; ; 
3072;pop;2.29; ; ; 
3073;sin estilo;1; ; ; 
3092;metal;1.58; ; ; 
3093;metal;2.44; ; ; 
3094;metal;.83; ; ; 
3095;sin estilo;2.71;.78;.33;-2.38
3096;indie;1.73; ; ; 
3097;indie;1.58; ; ; 
3098;sin estilo;1.5; ; ; 
3100;pop;1.05; ; ; 
3106;sin estilo;2.05; ; ; 
3107;pop;2.63; ; ; 
3109;indie;2.55;2.29; ; 
3111;metal;2; ; ; 
3112;sin estilo;2; ; ; 
3114;indie;1.32; ; ; 
3116;pop;3.14; ; ; 
3118;metal;1.44; ; ; 
3129;sin estilo;1.85;.23; ; 
3131;pop;1.41;.44; ; 
3132;sin estilo;1.94; ; ; 
3133;pop;2.91; ; ; 
3135;sin estilo;1.85; ; ; 
3136;metal;1.7; ; ; 
3137;metal;2.23; ; ; 
3138;pop;1.11; ; ; 
3139;pop;1.47; ; ; 
3146;metal;2.2; ; ; 
3147;sin estilo;1.82; ; ; 
3148;sin estilo;1.42; ; ; 
3168;indie;2.44; ; ; 
3171;sin estilo;2.66; ; ; 
3172;sin estilo;1.52; ; ; 
3173;sin estilo;1.35;.47;.73;-.62
3180;sin estilo;1.29; ; ; 
3182;sin estilo;2.32; ; ; 
3190;pop;.78; ; ; 
3192;pop;2.84; ; ; 
3202;sin estilo;.97; ; ; 
3236;pop;1.52; ; ; 
3245;pop;1.7; ; ; 
3246;sin estilo;.94;1.17;1.29;.35
3247;sin estilo;1.41; ; ; 
3248;sin estilo;1.79; ; ; 
3249;sin estilo;1.08;.44;.44;-.64
3250;pop;1.47; ; ; 
3251;sin estilo;1.79;.47; ; 
3253;indie;2; ; ; 
3254;sin estilo;.76; ; ; 
3255;metal;2.2; ; ; 
3256;metal;.94;.17; ; 
3257;sin estilo;1.38; ; ; 
3258;sin estilo;1.38;.85; ; 
3260;metal;.32; ; ; 
3261;sin estilo;2.58; ; ; 
3262;metal;.51; ; ; 
3264;sin estilo;.32; ; ; 
3267;metal;.91;1.11;1.7;.79
3273;sin estilo;1.51; ; ; 
3275;metal;1.47; ; ; 
3276;pop;2.5; ; ; 
3277;metal;2.26; ; ; 
3278;indie;2.81; ; ; 
3279;pop;1.87; ; ; 
3281;sin estilo;2; ; ; 
3282;pop;2.23;.41;1.02;-1.21
3284;metal;2;.76; ; 
3290;pop;1.41; ; ; 
3291;metal;1.64; ; ; 
3292;metal;1.64; ; ; 
3296;metal;1.26; ; ; 
3306;pop;1.52;.55;1.88;.36
3307;pop;2.44;1.02;.76;-1.68
3308;indie;2.18; ; ; 
3309;sin estilo;3.02; ; ; 
3310;indie;1.02; ; ; 
3311;metal;2.88; ; ; 
3312;metal;1.54; ; ; 
3313;metal;1.64; ; ; 
3314;sin estilo;2.44;2.5;1.7;-.74
3315;sin estilo;1.29; ; ; 
3316;sin estilo;1.61;.32;.26;-1.35
3321;metal;1.77; ; ; 
3325;pop;.91;.17; ; 
3326;sin estilo;.85;.2;.38;-.47
3327;sin estilo;.85;.52;.44;-.41
3328;metal;1.5; ; ; 
3329;pop;1.05;.23; ; 
3338;sin estilo;3.38; ; ; 
3340;sin estilo;1.42;.52;2;.58
3341;pop;1.85; ; ; 
3348;pop;1.91;.84; ; 
3349;sin estilo;.82;.26; ; 
3350;indie;1.32;.76; ; 
3351;sin estilo;2.23;.85;.39;-1.84
3352;sin estilo;1.47;1.52;.17;-1.3
3363;sin estilo;2.7; ; ; 
3365;metal;1.58; ; ; 
3366;pop;1; ; ; 
3367;pop;1.44; ; ; 
3368;indie;2; ; ; 
3369;sin estilo;1.6; ; ; 
3370;metal;2.32;2.53;1.67;-.65
3371;indie;3.41; ; ; 
3372;metal;2.02; ; ; 
3373;sin estilo;.64;.52; ; 
3374;pop;3.58;3.35; ; 
3375;sin estilo;1.5; ; ; 
3376;sin estilo;1.08; ; ; 
3377;indie;1.52; ; ; 
3378;sin estilo;1.26; ; ; 
3379;metal;1.68; ; ; 
3380;sin estilo;1.47;1.08;.58;-.89
3390;sin estilo;1.47; ; ; 
3391;sin estilo;1.67;1.55; ; 
3392;indie;2.47;1.97; ; 
3393;pop;1.82; ; ; 
3394;metal;2.17; ; ; 
3395;pop;3.21; ; ; 
3397;sin estilo;1.6;1.38;1.02;-.58
3398;sin estilo;.32; ; ; 
3407;sin estilo;.55; ; ; 
3411;sin estilo;1.42; ; ; 
3412;sin estilo;1.14; ; ; 
3413;pop;2.64; ; ; 
3416;sin estilo;2.58; ; ; 
3418;metal;2.02; ; ; 
3419;metal;2; ; ; 
3420;sin estilo;2.9; ; ; 
3423;indie;1.82; ; ; 
3429;sin estilo;.5; ; ; 
3431;pop;1.53; ; ; 
3449;sin estilo;2.48; ; ; 
3450;pop;2.05; ; ; 
3453;pop;2.52; ; ; 
3454;metal;1.88; ; ; 
3455;indie;2.73; ; ; 
3456;pop;2.88; ; ; 
3457;sin estilo;1.67; ; ; 
3458;sin estilo;1.93; ; ; 
3460;indie;1.67; ; ; 
3461;sin estilo;1.2; ; ; 
3464;sin estilo;2.75; ; ; 
3467;sin estilo;1.94;.97; ; 
3468;sin estilo;.59; ; ; 
3469;indie;1.5; ; ; 
3477;sin estilo;1.58;.94;.94;-.64
3480;indie;2.23;.11;.17;-2.06
3483;sin estilo;2.35; ; ; 
3490;sin estilo;2.55;.82;.29;-2.26
3493;sin estilo;1.55; ; ; 
3494;metal;2.31; ; ; 
3495;sin estilo;2.23; ; ; 
3500;sin estilo;.67;.5; ; 
3501;indie;2.51; ; ; 
3503;indie;1.08;.58;.61;-.47
3510;sin estilo;2.44; ; ; 
3511;sin estilo;.23;.14; ; 
3512;pop;2.17; ; ; 
3518;indie;1.9;1.17; ; 
3519;sin estilo;1.67;.44; ; 
3521;sin estilo;2;.58;.52;-1.48
3522;sin estilo;2.44; ; ; 
3523;sin estilo;1.44; ; ; 
3524;sin estilo;.82; ; ; 
3525;metal;2.5; ; ; 
3526;sin estilo;1.82; ; ; 
3536;pop;1.97; ; ; 
3539;pop;2.52; ; ; 
3540;pop;.05; ; ; 
3542;indie;2.08; ; ; 
3545;pop;2.39; ; ; 
3546;sin estilo;1.45;.82; ; 
3551;pop;2.58; ; ; 
3557;sin estilo;2.12; ; ; 
3565;metal;2.02;.76;.55;-1.47
3567;sin estilo;1.78;1.14;.44;-1.34
3568;sin estilo;.73;.17;.76;.03
3569;sin estilo;2.26;.9;1.85;-.41
3570;metal;2.79; ; ; 
3571;sin estilo;.43;.67;.14;-.29
3572;sin estilo;.52;.38;.7;.18
3573;sin estilo;2.32; ; ; 
3574;sin estilo;2.22; ; ; 
3575;sin estilo;.58; ; ; 
3576;indie;2; ; ; 
3577;metal;.7; ; ; 
3586;sin estilo;1; ; ; 
3587;sin estilo;.3; ; ; 
3588;indie;1.52; ; ; 
3593;sin estilo;1.58;.35; ; 
3594;pop;2.34; ; ; 
3595;sin estilo;.79; ; ; 
3596;sin estilo;2.26; ; ; 
3597;indie;2.35; ; ; 
3598;metal;1.7; ; ; 
3599;sin estilo;3.09; ; ; 
3600;metal;1.52; ; ; 
3601;sin estilo;.35; ; ; 
3602;pop;2.7; ; ; 
3603;metal;1.64; ; ; 
3605;indie;.82; ; ; 
3606;sin estilo;2.73; ; ; 
3607;sin estilo;2.23; ; ; 
3609;sin estilo;1.06; ; ; 
3610;pop;2.05;.2;.35;-1.7
3613;indie;1.73;1.44; ; 
3614;sin estilo;.93;.91; ; 
3620;pop;2.5;2.44; ; 
3621;pop;1.44; ; ; 
3622;pop;2.88; ; ; 
3625;metal;.67;.23;.44;-.23
3626;sin estilo;1.85;.35; ; 
3627;sin estilo;1.21;.79; ; 
3628;sin estilo;1.06;.76;.7;-.36
3629;sin estilo;.61;.26;.33;-.28
3631;metal;2; ; ; 
3634;metal;1.17;.73;1.17;0
3635;sin estilo;1.48;.79;1.55;.0700000000000001
3645;sin estilo;1.55; ; ; 
3646;metal;3.29; ; ; 
3647;pop;1.47; ; ; 
3648;sin estilo;.96; ; ; 
3649;sin estilo;1;1.11;1.2;.2
3652;metal;1.47; ; ; 
3653;indie;2.55;2.38; ; 
3654;sin estilo;.44;.06; ; 
3655;sin estilo;2.35;2.41; ; 
3656;sin estilo;1.71;.85; ; 
3659;sin estilo;1.84;.58;.7;-1.14
3660;metal;1.11;.23;.55;-.56
3667;sin estilo;1.38; ; ; 
3669;sin estilo;.88; ; ; 
3670;pop;.94; ; ; 
3672;pop;1.91; ; ; 
3676;sin estilo;2.76; ; ; 
3677;pop;1.55;.32;.47;-1.08
3678;sin estilo;2.67; ; ; 
3680;metal;1.03;.29;.72;-.31
3696;pop;2.5; ; ; 
3697;sin estilo;1.64; ; ; 
3698;metal;2.26; ; ; 
3709;pop;2.14; ; ; 
3710;pop;.52; ; ; 
3711;sin estilo;1.08; ; ; 
3712;sin estilo;1.69; ; ; 
3713;metal;2.73; ; ; 
3714;pop;1.91; ; ; 
3715;sin estilo;1.73; ; ; 
3716;indie;3.21; ; ; 
3717;pop;2.11; ; ; 
3718;sin estilo;2.05; ; ; 
3719;sin estilo;2.17; ; ; 
3720;sin estilo;2.17; ; ; 
3721;metal;2.3; ; ; 
3722;indie;2.56; ; ; 
3723;metal;2.11;.41;.47;-1.64
3724;metal;1.7; ; ; 
3725;pop;1.23; ; ; 
3726;pop;3.2; ; ; 
3727;pop;2.02; ; ; 
3728;pop;2.64; ; ; 
3729;pop;2.52;.14; ; 
3730;sin estilo;1.61; ; ; 
3731;metal;1.5;1.2;.91;-.59
3734;indie;1.15;.45;.44;-.71
3736;pop;1.82; ; ; 
3753;sin estilo;1.5; ; ; 
3754;metal;2.32; ; ; 
3759;sin estilo;2.92; ; ; 
3764;sin estilo;1.41; ; ; 
3769;indie;1.35; ; ; 
3778;pop;.61;.14; ; 
3779;sin estilo;.73; ; ; 
3782;sin estilo;2.23;1.88; ; 
3783;sin estilo;1.32;.91; ; 
3784;sin estilo;2.94;1.79; ; 
3785;sin estilo;1.61; ; ; 
3786;sin estilo;1; ; ; 
3787;metal;3.15;3; ; 
3788;indie;2.88; ; ; 
3791;metal;2.09;1.21; ; 
3792;sin estilo;1.32;1.7;2.29;.97
3793;pop;1.47;.35; ; 
3794;metal;1.61; ; ; 
3796;sin estilo;2.2;1.5;1.88;-.32
3797;pop;2.78; ; ; 
3798;sin estilo;2.06; ; ; 
3799;sin estilo;.47; ; ; 
3804;metal;2.87; ; ; 
3826;metal;1.14; ; ; 
3828;sin estilo;3.32;3.21; ; 
3831;pop;2.08;1.38; ; 
3836;metal;2.38;2.5; ; 
3837;indie;2.08; ; ; 
3838;sin estilo;1.85; ; ; 
3840;metal;1.38; ; ; 
3844;metal;1.14; ; ; 
3846;pop;1.58; ; ; 
3849;metal;1.23;.7;1.02;-.21
3850;indie;2.53; ; ; 
3851;sin estilo;.67; ; ; 
3854;pop;.73; ; ; 
3855;sin estilo;1.34; ; ; 
3856;sin estilo;2.14;.7; ; 
3857;sin estilo;1; ; ; 
3858;sin estilo;1.35; ; ; 
3859;pop;1.94;.79; ; 
3860;indie;.5; ; ; 
3869;indie;3.08; ; ; 
3870;sin estilo;2.88; ; ; 
3871;sin estilo;1.91; ; ; 
3872;sin estilo;1.41; ; ; 
3873;pop;2.02; ; ; 
3874;sin estilo;.76; ; ; 
3875;metal;1.94; ; ; 
3876;sin estilo;.67;.28; ; 
3879;pop;2.41; ; ; 
3880;metal;2.17; ; ; 
3882;metal;2.67;.41; ; 
3883;pop;1.94;.64; ; 
3888;metal;2.05;.85;1.7;-.35
3890;metal;2.17; ; ; 
3909;sin estilo;.47; ; ; 
3912;sin estilo;.62;.76; ; 
3913;pop;2; ; ; 
3914;sin estilo;.45; ; ; 
3916;indie;2.29;.91;1.38;-.91
3917;indie;2.55; ; ; 
3918;metal;.82; ; ; 
3919;sin estilo;3.12;2.2; ; 
3920;pop;2.5;2.23;.41;-2.09
3921;indie;1.79; ; ; 
3922;sin estilo;2.28; ; ; 
3923;sin estilo;.58;1.05;.58;0
3924;metal;2.5;1.29; ; 
3925;indie;1.41; ; ; 
3926;metal;2.14; ; ; 
3927;sin estilo;.76;.26; ; 
3929;metal;1.79;1.11; ; 
3930;sin estilo;1.02;.35; ; 
3932;metal;2.62; ; ; 
3942;pop;.88; ; ; 
3944;sin estilo;1.58;.2;.2;-1.38
3945;sin estilo;2.2; ; ; 
3946;pop;1.14; ; ; 
3947;metal;1.47;.52;.35;-1.12
3948;metal;1.41;.23;.38;-1.03
3949;sin estilo;1.44;1.76;1.18;-.26
3950;metal;1.23;1.17; ; 
3951;sin estilo;1.82; ; ; 
3952;sin estilo;2.44; ; ; 
3954;metal;1.94;1.2; ; 
3955;metal;2.41; ; ; 
3964;pop;2.27; ; ; 
3965;sin estilo;1.79;.23; ; 
3966;metal;1.88; ; ; 
3972;pop;1.85;.64;1.32;-.53
3973;indie;2.21; ; ; 
3986;sin estilo;1.97;1.94; ; 
3987;pop;2.51; ; ; 
3988;metal;2.05; ; ; 
3989;metal;1.29;1;.82;-.47
3990;indie;2.05; ; ; 
3991;sin estilo;2.23; ; ; 
3992;sin estilo;1.76; ; ; 
3993;sin estilo;1.05; ; ; 
3994;pop;1.79; ; ; 
3995;metal;1.02;.73;.47;-.55
3996;pop;2.76;1.58; ; 
3997;pop;1.67;.55; ; 
4010;pop;2.85; ; ; 
4011;metal;.23;.84; ; 
4012;sin estilo;1.9; ; ; 
4013;sin estilo;1.23;.52; ; 
4014;indie;1.97; ; ; 
4015;metal;1.5; ; ; 
4016;sin estilo;3.69; ; ; 
4017;sin estilo;.5; ; ; 
4022;indie;2.18; ; ; 
4023;sin estilo;2.17; ; ; 
4024;sin estilo;1.58; ; ; 
4025;pop;2.88; ; ; 
4030;metal;2.52; ; ; 
4032;metal;2.2; ; ; 
4033;metal;1.73; ; ; 
4034;sin estilo;2.23; ; ; 
4079;indie;1.97; ; ; 
4089;sin estilo;1.2;.67;.91;-.29
4090;indie;2; ; ; 
4092;metal;1.91; ; ; 
4093;indie;.81; ; ; 
4095;sin estilo;1.31; ; ; 
4096;sin estilo;.38; ; ; 
4101;indie;1.97; ; ; 
4104;pop;.38; ; ; 
4105;pop;2.11;.76;.85;-1.26
4106;metal;3.2; ; ; 
4107;sin estilo;.02; ; ; 
4109;sin estilo;2.56; ; ; 
4110;indie;2.02; ; ; 
4111;pop;2.3; ; ; 
4114;pop;2.02; ; ; 
4147;metal;2.05; ; ; 
4148;pop;1.7; ; ; 
4149;pop;1.61; ; ; 
4150;pop;.73; ; ; 
4151;metal;2.5;1.64; ; 
4152;metal;2.18;1.75;1.91;-.27
4153;indie;2.46;1.08;1.91;-.55
4154;metal;1.5;.91; ; 
4155;sin estilo;1.73;.94; ; 
4156;indie;1.44; ; ; 
4157;indie;1.64;.32;.52;-1.12
4158;sin estilo;2.02;2.44; ; 
4159;sin estilo;1.2;.17;.2;-1
4160;sin estilo;.38;.02; ; 
4161;pop;1.58;1.54;1.76;.18
4162;pop;1.67;.5; ; 
4163;pop;1;.48; ; 
4164;sin estilo;2.58;1.35; ; 
4165;metal;2.82;2.61;3.02;.2
4166;metal;2.29;2.05; ; 
4167;pop;1.14; ; ; 
4168;pop;1.64;.76; ; 
4171;pop;1.82;.08; ; 
4172;pop;3.32;2.91;3.02;-.3
4193;sin estilo;3.32; ; ; 
4194;pop;1.85;1;1.5;-.35
4195;indie;2.29; ; ; 
4196;pop;1.47;.47;1.58;.11
4197;metal;2.08;.7;.67;-1.41
4198;pop;2.2; ; ; 
4199;metal;1.06;1.45; ; 
4216;metal;.97;.14;.02;-.95
4218;pop;2; ; ; 
4219;metal;1.67;.38; ; 
4220;pop;2.94; ; ; 
4221;sin estilo;1.55; ; ; 
4222;metal;.88;.26; ; 
4223;metal;1.35;2.32; ; 
4224;pop;.61;.2;.17;-.44
4225;pop;1; ; ; 
4226;sin estilo;1.52;2.72;.52;-1
4234;sin estilo;1; ; ; 
4235;sin estilo;1.76;.41;.88;-.88
4236;sin estilo;2.52; ; ; 
4237;pop;2;.88;1.44;-.56
4238;sin estilo;2.63; ; ; 
4239;pop;.73;.85; ; 
4240;metal;1.58;.23;1.66;.0799999999999999
4241;sin estilo;.58; ; ; 
4245;sin estilo;1.67; ; ; 
4247;sin estilo;1.47; ; ; 
4249;sin estilo;1.81; ; ; 
4256;pop;1.91; ; ; 
4257;sin estilo;1.06; ; ; 
4259;sin estilo;1.47;1.23;.94;-.53
4262;pop;2.52; ; ; 
4263;metal;1.85;.2; ; 
4264;pop;3.44; ; ; 
4265;metal;1.55;1.32;1.19;-.36
4266;metal;2.29;2.7; ; 
4267;metal;1.76; ; ; 
4268;sin estilo;1.9; ; ; 
4269;sin estilo;2.52;2.55; ; 
4271;pop;2.52; ; ; 
4274;pop;2.82;.17; ; 
4281;pop;2.02; ; ; 
4284;metal;1.29; ; ; 
4285;sin estilo;1.26; ; ; 
4287;metal;.94; ; ; 
4291;indie;2;1.13;.53;-1.47
4292;sin estilo;.73; ; ; 
4294;pop;2.26;.79; ; 
4295;pop;2.23; ; ; 
4297;pop;2.35; ; ; 
4298;sin estilo;.55;.38; ; 
4301;sin estilo;1.85; ; ; 
4302;pop;.67; ; ; 
4305;pop;1.85;1; ; 
4306;pop;1.23;.2; ; 
4308;sin estilo;2.35; ; ; 
4309;pop;1.35; ; ; 
4310;sin estilo;1.94; ; ; 
4311;sin estilo;1.55; ; ; 
4312;pop;1.29; ; ; 
4313;indie;2.17; ; ; 
4314;metal;1.91; ; ; 
4333;indie;2.88; ; ; 
4334;sin estilo;2.36; ; ; 
4335;indie;2.36; ; ; 
4336;sin estilo;2.2; ; ; 
4349;pop;2.17;.47;.38;-1.79
4351;pop;.52; ; ; 
4352;pop;.32; ; ; 
4353;metal;1.52;.55; ; 
4354;pop;2;.94;.08;-1.92
4355;metal;1.32;1.02;1.2;-.12
4356;indie;2.05; ; ; 
4357;pop;1.73; ; ; 
4358;sin estilo;1.94; ; ; 
4359;metal;1.81; ; ; 
4360;indie;.9;.64; ; 
4361;sin estilo;1.58;.67; ; 
4363;metal;2.29;1.87;.91;-1.38
4366;sin estilo;2.57; ; ; 
4370;sin estilo;1.58; ; ; 
4382;pop;2.33;.82; ; 
4383;pop;3.15; ; ; 
4384;indie;2.29; ; ; 
4385;pop;.82; ; ; 
4386;pop;1.93; ; ; 
4387;sin estilo;1.82; ; ; 
4388;sin estilo;1.96; ; ; 
4389;sin estilo;1.32;.64;.47;-.85
4391;sin estilo;1.02; ; ; 
4392;sin estilo;1.14; ; ; 
4393;metal;2.32; ; ; 
4394;metal;2.16; ; ; 
4396;sin estilo;2.42;1.7; ; 
4397;sin estilo;1.14; ; ; 
4398;indie;1.55;.79;1.76;.21
4404;indie;1.17; ; ; 
4405;sin estilo;1;.58;.32;-.68
4410;pop;1.05;.11; ; 
4419;sin estilo;1.38; ; ; 
4428;sin estilo;1.93;2.42; ; 
4430;metal;2.73; ; ; 
4435;sin estilo;2.02; ; ; 
4436;indie;2.81; ; ; 
4437;sin estilo;2.47; ; ; 
4439;metal;1.35; ; ; 
4440;pop;2.08; ; ; 
4441;pop;2.5; ; ; 
4442;indie;2.45; ; ; 
4443;metal;2.17; ; ; 
4444;sin estilo;1.7;0; ; 
4445;sin estilo;.7;.23;.45;-.25
4446;indie;1.51; ; ; 
4447;metal;1.23; ; ; 
4448;metal;2.14;.85; ; 
4452;sin estilo;1.14;1.14; ; 
4453;metal;.96; ; ; 
4454;sin estilo;1.52;1.14;1.26;-.26
4455;sin estilo;.52; ; ; 
4456;metal;1.56; ; ; 
4459;sin estilo;3.29;.26; ; 
4464;sin estilo;.45; ; ; 
4467;metal;2.63; ; ; 
4468;pop;1.7; ; ; 
4470;metal;3.11; ; ; 
4479;pop;1.82; ; ; 
4481;indie;1.58;.14; ; 
4482;sin estilo;2.73; ; ; 
4485;sin estilo;1.5;1.14; ; 
4486;sin estilo;1.78;1.02; ; 
4488;sin estilo;2.02; ; ; 
4507;sin estilo;.67;.94;.91;.24
4509;pop;1.41;.55; ; 
4510;metal;.9; ; ; 
4511;metal;1.23;1.11;.76;-.47
4512;sin estilo;2.7; ; ; 
4514;indie;1.97; ; ; 
4515;pop;.84; ; ; 
4516;sin estilo;1.79; ; ; 
4517;sin estilo;2.84; ; ; 
4518;pop;2.02; ; ; 
4519;metal;1.64;.7; ; 
4525;sin estilo;1.08; ; ; 
4533;indie;2.97; ; ; 
4552;pop;.94; ; ; 
4553;indie;2.97;1.94; ; 
4554;pop;.97; ; ; 
4555;sin estilo;1.47; ; ; 
4559;metal;2.61; ; ; 
4563;pop;1.73;.2;.91;-.82
4564;metal;3.38;3.44;3.41;.0300000000000003
4569;sin estilo;3.17;1;1.73;-1.44
